All,બધા
"Use All Available Attributes","બધા ઉપલબ્ધ લક્ષણોનો ઉપયોગ કરો"
ID,આઈ.ડી.
SKU,એસક્યુ
Visibility,દૃશ્યતા
Position,સ્થિતિ
"Add Subcategory","ઉપકેટેગરી ઉમેરો"
"Add Root Category","રુટ કેટેગરી ઉમેરો"
Day,દિવસ
Month,માસ
Year,વર્ષ
from,માંથી
to,માટે
[GLOBAL],[વૈશ્વિક]
[WEBSITE],[વેબસાઈટ]
"[STORE VIEW]","[સ્ટોર જુઓ]"
"WYSIWYG Editor","WYSIWYG સંપાદક"
"Add Product","ઉત્પાદન ઉમેરો"
label,લેબલ
"Product Attributes","ઉત્પાદનનાં લક્ષણો"
"Add New Attribute","નવું એટ્રિબ્યુટ ઉમેરો"
"Save Attribute","એટ્રિબ્યુટ સાચવો"
"Save in New Attribute Set","નવા એટ્રિબ્યુટ સેટમાં સાચવો"
"Enter Name for New Attribute Set","નવા એટ્રિબ્યુટ સેટ માટે નામ દાખલ કરો"
"Save and Continue Edit","સાચવો અને સંપાદન ચાલુ રાખો"
"Delete Attribute","એટ્રીબ્યુટ કા Deleteી નાખો"
"Edit Product Attribute ""%1""","ઉત્પાદન લક્ષણ ""%1"" સંપાદિત કરો"
"New Product Attribute","નવું ઉત્પાદન લક્ષણ"
"Advanced Attribute Properties","અદ્યતન એટ્રિબ્યુટ ગુણધર્મો"
"Attribute Code","એટ્રિબ્યુટ કોડ"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","આનો ઉપયોગ આંતરિક રીતે થાય છે. ખાતરી કરો કે તમે ખાલી જગ્યાઓ અથવા %1 થી વધુ પ્રતીકોનો ઉપયોગ નથી કરતા."
"Default Value","ડિફaultલ્ટ મૂલ્ય"
"Unique Value","અનન્ય મૂલ્ય"
"Unique Value (not shared with other products)","અનન્ય મૂલ્ય (અન્ય ઉત્પાદનો સાથે વહેંચાયેલું નથી)"
"Not shared with other products.","અન્ય ઉત્પાદનો સાથે શેર કરેલ નથી."
"Input Validation for Store Owner","સ્ટોર માલિક માટે ઇનપુટ માન્યતા"
"Add to Column Options","કumnલમ વિકલ્પોમાં ઉમેરો"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","પ્રોડક્ટ ગ્રીડમાં ક columnલમ વિકલ્પોની સૂચિમાં આ લક્ષણ ઉમેરવા માટે ""હા"" પસંદ કરો."
"Use in Filter Options","ફિલ્ટર વિકલ્પોમાં ઉપયોગ કરો"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","પ્રોડક્ટ ગ્રીડમાં ફિલ્ટર વિકલ્પોની સૂચિમાં આ લક્ષણ ઉમેરવા માટે ""હા"" પસંદ કરો."
"Store View","દુકાન દૃશ્ય"
Website,વેબસાઇટ
Global,વૈશ્વિક
Scope,અવકાશ
"Declare attribute value saving scope.","લક્ષણ મૂલ્ય બચાવ અવકાશ જાહેર કરો."
"Storefront Properties","સ્ટોરફ્રન્ટ ગુણધર્મો"
"Use in Search","શોધમાં વાપરો"
"Visible in Advanced Search","અદ્યતન શોધમાં દૃશ્યમાન"
"Comparable on Storefront","સ્ટોરફ્રન્ટ પર તુલનાત્મક"
"Use for Promo Rule Conditions","પ્રોમો નિયમની શરતો માટે ઉપયોગ કરો"
"Allow HTML Tags on Storefront","સ્ટોરફ્રન્ટ પર HTML ટ Tagsગ્સને મંજૂરી આપો"
"Visible on Catalog Pages on Storefront","સ્ટોરફ્રન્ટ પર કેટલોગ પૃષ્ઠો પર દૃશ્યમાન"
"Used in Product Listing","પ્રોડક્ટ લિસ્ટિંગમાં વપરાય છે"
"Depends on design theme.","ડિઝાઇન થીમ પર આધારીત છે."
"Used for Sorting in Product Listing","ઉત્પાદન સૂચિમાં સ inર્ટ કરવા માટે વપરાય છે"
"Media Image","મીડિયા છબી"
Gallery,ગેલેરી
"System Properties","સિસ્ટમ ગુણધર્મો"
"Data Type for Saving in Database","ડેટાબેસમાં સાચવવા માટે ડેટા પ્રકાર"
Text,ટેક્સ્ટ
Varchar,વર્ચર
Static,સ્થિર
Datetime,"તારીખ સમય"
Decimal,દશાંશ
Integer,પૂર્ણાંક
"Globally Editable","વૈશ્વિક સ્તરે સંપાદનયોગ્ય"
"Attribute Information","લક્ષણ માહિતી"
Properties,ગુણધર્મો
"Manage Labels","લેબલ્સ મેનેજ કરો"
Visible,દૃશ્યમાન
"Web Site","વેબ સાઇટ"
Searchable,"શોધી શકાય તેવું"
Comparable,તુલનાત્મક
"Delete Selected Group","પસંદ કરેલું જૂથ કા Deleteી નાખો"
"Add New","નવો ઉમેરો"
Back,પાછળ
"You are about to delete all products in this attribute set. Are you sure you want to do that?","તમે આ એટ્રિબ્યુટ સમૂહના બધા ઉત્પાદનોને કા deleteી નાખવાના છો. શું તમે ખરેખર તે કરવા માંગો છો?"
"New Set Name","નવું સેટ નામ"
"Edit Attribute Set '%1'","એટ્રિબ્યુટ સેટ '%1' સંપાદિત કરો"
Empty,ખાલી
"Add Attribute","એટ્રિબ્યુટ ઉમેરો"
"Add New Group","નવું જૂથ ઉમેરો"
"Add Group","જૂથ ઉમેરો"
"For internal use","આંતરિક ઉપયોગ માટે"
"Based On","પર આધારિત"
